street_name,num_of_rooms,size,type,location,final_price,sold_month,sold_year,price_change,initial_price,floor_num,year_built
Läckövägen,3.0,53,Lägenhet, Hammarbyhöjden,3400000,mar,2019,26.2,2695000,2,1943
Alingsåsvägen,3.0,59,Lägenhet, Hammarbyhöjden,3000000,jan,2019,3.6,2895752,2,1939
Hasselquistvägen,2.0,40,Lägenhet, Johanneshov,2650000,dec,2018,12.8,2350000,2,1939
Axvallsvägen,3.0,61,Lägenhet, Björkhagen,3350000,okt,2018,11.9,2995000,2,1946
Läckövägen,2.0,52,Lägenhet, Johanneshov,3125000,okt,2018,17.9,2650551,2,1937
Wahlbergsgatan,2.0,41,Lägenhet, Hammarbyhöjden,2985000,jul,2018,21.8,2450000,2,1937
Strahlenbergsgatan,3.0,56,Lägenhet, Hammarbyhöjden,3700000,jun,2018,23.5,2995000,3,1937
Alingsåsvägen,2.0,40,Lägenhet, Hammarbyhöjden,2900000,maj,2018,21.1,2395000,3,1942
Katarina,3.0,99,Lägenhet, Katarina,9100000,jan,2020,7.7,8450000,3,1902
Skanörvägen,2.0,54,Lägenhet, Björkhagen,2800000,mar,2018,7.9,2595000,5,1949
Hjovägen,2.0,45,Lägenhet, Hammarbyhöjden,2690000,mar,2018,17.2,2295000,3,1942
Alingsåsvägen,2.0,46,Lägenhet, Hammarbyhöjden,2640000,feb,2018,5.8,2495274,3,2009
Alingsåsvägen,2.0,46,Lägenhet, Hammarbyhöjden,2640000,feb,2018,5.8,2495274,3,2009
Kärrtorpsvägen,4.5,107,Lägenhet, Kärrtorp,5810000,feb,2018,7.7,5395000,3,2009
Guldsmedsvägen,3.0,63,Lägenhet, Enskede,3150000,dec,2017,-12.4,3595000,3,1947
Per,4.0,89,Lägenhet, Hammarbyhöjden,4200000,dec,2017,0.1,4195000,1,1939
Axvallsvägen,2.0,59,Lägenhet, Björkhagen,2900000,dec,2017,3.8,2795000,2,1946
Falsterbovägen,2.0,59,Lägenhet, Björkhagen,3100000,dec,2017,10.9,2795000,3,1948
Skanörvägen,3.0,68,Lägenhet, Björkhagen,3595000,okt,2017,0.0,3595000,2,1948
Finn,2.0,63,Lägenhet, Johanneshov,2695000,aug,2017,8.0,2495000,2,1990
Per,3.0,63,Lägenhet, Hammarbyhöjden,3900000,okt,2017,11.6,3494623,2,1942
Skanörvägen,2.0,54,Lägenhet, Björkhagen,3160000,aug,2017,31.9,2395754,2,1942
Forsskålsgatan,1.0,31,Lägenhet, Hammarbyhöjden,2620000,jul,2017,49.7,1750000,2,1942
Per,2.0,41,Lägenhet, Hammarbyhöjden,2450000,mar,2017,11.6,2195340,3,1992
Petrejusvägen,2.0,67,Lägenhet, Hammarbyhöjden,4450000,mar,2017,78.4,2495000,3,1992
Per,2.5,55,Lägenhet, Johanneshov,3450000,nov,2016,25.5,2749003,1,1940
Per,2.5,57,Lägenhet, Hammarbyhöjden,2650000,maj,2017,2.1,2595000,1,1940
Svedalavägen,4.0,110,Lägenhet, Johanneshov,6750000,jun,2016,13.0,5975000,1,2004
Mariestadsvägen,1.0,36,Lägenhet, Hammarbyhöjden,2800000,feb,2017,40.4,1995000,3,1943
Pastellvägen,1.0,24,Lägenhet, Johanneshov,2100000,apr,2016,10.8,1895306,3,1942
