street_name,num_of_rooms,size,type,location,sold_month,sold_year,initial_price,floor_num,year_built,final_price
Garvar,2.5,64,Lägenhet, Kungsholmen Nedre,jan,2020,5495000,3,1929,6150000
Linnégatan,2,58,Lägenhet, Östermalm,jan,2020,5750000,2,1914,6150000
Fleminggatan,5,157,Lägenhet, Kungsholmen,jan,2020,11750000,4,1906,13800000
Gösta,1.5,31,Lägenhet, Hägersten-Liljeholmen Axelsberg,jan,2020,1995000,1,1967,2360000
Flintbacken,3,78,Lägenhet, Högalid,jan,2020,5500000,1,1960,5550000
Ringstedsgatan,1,37,Lägenhet, Kista,jan,2020,1700000,3,1979,1700000
Folkungagatan,2,54,Lägenhet, Södermalm,jan,2020,3995000,3,1929,4420000
Köpenhamnsgatan,3,80,Lägenhet, Kista,jan,2020,2395000,2,1978,2560000
Hälleskåran,6,139,Villa, Mälarhöjden,jan,2020,8375000,5,1940,10150000
Birger,2,69,Lägenhet, Vasastan,jan,2020,7500000,5,1912,7500000
Sandhamnsgatan,4,85,Lägenhet, Gärdet,jan,2020,4995000,3,1993,6250000
Sköldgatan,3,83,Lägenhet, Södermalm,jan,2020,4995000,1,1989,5610000
Blekingegatan,2.5,73,Lägenhet, Södermalm,jan,2020,5995000,6,1991,6905000
Gondolgatan,3,71,Lägenhet, Skarpnäck,jan,2020,2495000,1,1983,2800000
Ullaredsgränd,3,83,Lägenhet, Östberga,jan,2020,1995000,3,1968,2220000
Rottnerosbacken,4,88,Lägenhet, Farsta,jan,2020,3995000,3,2015,4200000
Torsgatan,2,57,Lägenhet, Vasastan,jan,2020,4995000,3,1926,6200000
Kolsnarsvägen,2,54,Lägenhet, Årsta,jan,2020,2495000,3,1944,2750000
Kolsnarsvägen,2,54,Lägenhet, Årsta,jan,2020,2495000,3,1944,2750000
Primusgatan,3.5,84,Lägenhet, Lilla Essingen Kungsholmen,jan,2020,5495000,5,2007,5850000
Grenljusbacken,3,73,Lägenhet, Gröndal,jan,2020,4195000,5,1959,5250000
Midsommargränd,3,61,Lägenhet, Midsommarkransen,jan,2020,3795000,2,2009,4470000
Fridhemsgatan,2,52,Lägenhet, Kungsholmen,jan,2020,4375000,2,1926,4700000
Samaritgränd,3.5,75,Lägenhet, Södermalm,jan,2020,6500000,4,1929,6660000
Birger,3.5,103,Lägenhet, Östermalm,jan,2020,9975000,4,1896,10860000
Jämtlandsgatan,1,33,Lägenhet, Vällingby,jan,2020,1595000,7,1952,1860000
Teknologgatan,2.5,64,Lägenhet, Vasastan,jan,2020,6995000,2,1898,7450000
